"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000168827",647.298560924205,0.14113179456155,0.0991032665271708,1.42408822137922,0.15442093561108,0.257584568350948
"ENSG00000168828",0.145821453387527,-0.164004933765765,3.56436050191926,-0.0460124428147645,0.963300332482244,NA
"ENSG00000168830",0,NA,NA,NA,NA,NA
"ENSG00000168843",1.04256576874394,-0.734302645398107,3.55568697008553,-0.206514986154826,0.836388659780424,0.894509303303449
"ENSG00000168852",5.91854661702724,0.436417267693634,0.339433965160574,1.2857206776204,0.198540562114267,0.312825977308392
"ENSG00000168872",105.60881638872,0.430103234213613,0.0952350450543725,4.51622860017607,6.29507067498596e-06,7.76010530480088e-05
"ENSG00000168874",46.4222090197341,-1.2301063340177,0.356246330473036,-3.45296562741944,0.000554459648578036,0.0026851688695422
"ENSG00000168875",3.832916651229,3.55975665395295,0.989645362439222,3.59700230916968,0.0003219056268998,0.00172987066080368
"ENSG00000168876",131.030681454725,-0.0600363380762021,0.0854861305436829,-0.702293315820675,0.482496260879636,0.611843762237643
"ENSG00000168878",20.2660935006106,-0.262898409284698,1.27479041325414,-0.206228731053602,0.83661224605323,0.8945611792283
"ENSG00000168883",516.559479344056,0.254219982647006,0.0875660761954808,2.90317887579535,0.00369395584712459,0.0125381830505656
"ENSG00000168884",406.945537901996,-0.290102485099623,0.0850743491711315,-3.40998770988029,0.000649658069739252,0.00305438778121847
"ENSG00000168887",195.476104252615,-0.324496006196344,0.0911874367104629,-3.55856045418493,0.000372892968712466,0.00194977968730374
"ENSG00000168890",112.617256706566,0.270183289001624,0.128716224964187,2.099061630162,0.0358114682579942,0.0791960059111283
"ENSG00000168894",313.796766879465,-0.0227364052011488,0.076064905941624,-0.298907951304086,0.765010280053953,0.842467380271653
"ENSG00000168899",111.783260727756,-0.0177546076652998,0.25237236411585,-0.0703508394332339,0.943914418694005,0.964997966340671
"ENSG00000168903",600.628644346372,-2.07021993532805,0.479392421689668,-4.31842440902871,1.57147025091959e-05,0.000159122364175255
"ENSG00000168904",112.195298130029,-0.374045266274866,0.155408840771955,-2.40684676892826,0.0160909196823101,0.0413310408992253
"ENSG00000168906",1434.02055792897,0.14433491808715,0.086800802974173,1.66282929583147,0.0963466106219211,0.177014338330907
"ENSG00000168907",304.239319165538,-0.847621788823748,0.326769715630132,-2.59394230334112,0.00948824080891671,0.0268023223020404
"ENSG00000168913",6.96676657223348,-1.98231856998,0.48299481010477,-4.10422333430457,4.05675425782804e-05,0.0003395982060566
"ENSG00000168916",192.765957782217,-0.573445895740311,0.176039611049722,-3.25748217870319,0.00112405316296026,0.00475080339420501
"ENSG00000168917",13.5661221386634,0.306047887328006,0.296492878532874,1.03222677334583,0.301965895564193,0.430122110174232
"ENSG00000168918",454.012084302433,0.230285966306668,0.220159645757377,1.04599535266536,0.295563178049568,0.423544339445638
"ENSG00000168924",849.09572912516,-0.816730839580604,0.169911784327312,-4.80679337701075,1.53370355727977e-06,2.61597738826587e-05
"ENSG00000168925",0.0734925800369032,-0.219184760197293,3.56543297572379,-0.0614749349348793,0.950980975666846,NA
"ENSG00000168928",0.0680877835249966,-0.0786304294140714,3.56577878304894,-0.0220514042508375,0.982406950828124,NA
"ENSG00000168930",0,NA,NA,NA,NA,NA
"ENSG00000168936",476.085049793326,-0.399507920460016,0.131096134266781,-3.04744241845466,0.0023079774007056,0.00855671183966315
